"","DateTime","spp","Contam","Temp","NomConc","CalcConc","fishID","weight.g","length.mm","round","chamber","volume.ml","BaroP","Salinity","Phase","Time.m","Temp.1","O2.sat","Intercept","Slope","Slope.hour","r2","sat100.mgO2perL","sat100.mgO2","mgO2","mgO2hpos","mass.specific.mgO2ghr","notes"
"1","2021-05-30 14:16:59","GS","Fipronil",18.67,0,0.01,"gs_014",0.6266,44.01,2,6,20.7109,1014.6,4,"M9",114.7,18.67,94.96,0.723823400311716,-0.00478393804173924,-0.287036282504354,0.997887510235767,9.12187476249924,0.183206469292464,0.173972863240123,0.287036282504354,0.458085353502002,""
"2","2021-06-01 09:14:16","GS","Fipronil",18.72,0,0.01,"gs_039",1.0496,54.27,1,7,21.359,1015.3,4,"M4",46.75,18.72,92.81,0.506081655956337,-0.00717333631230208,-0.430400178738125,0.985411349941024,9.11913126981531,0.185204084611187,0.171887910927643,0.430400178738125,0.410061145901415,""
"3","2021-05-30 13:49:59","GS","Fipronil",18.72,0,0.01,"gs_014",0.6266,44.01,2,6,20.7109,1014.6,4,"M7",87.7,18.72,94.59,0.651882165065624,-0.0054480466843536,-0.326882801061216,0.998685625190425,9.11270797004399,0.183022360682755,0.173120850969818,0.326882801061216,0.521676988607111,""
"4","2021-05-30 12:55:59","GS","Fipronil",18.92,0,0.01,"gs_014",0.6266,44.01,2,6,20.7109,1014.6,4,"M3",33.7,18.92,94.9,0.351862244949804,-0.00528954446928497,-0.317372668157098,0.999446521505117,9.07621193192689,0.182289363304399,0.172992605775875,0.317372668157098,0.506499629998561,""
"5","2021-06-01 14:45:39","GS","Fipronil",19.32,0,0.01,"gs_056",0.554,44.32,3,8,21.6943,1014.9,4,"M1",11.1666666666667,19.32,94.06,0.23580654490977,-0.00500064530861612,-0.300038718516967,0.996982321012857,9.00675332524191,0.190405467321612,0.179095382562708,0.300038718516967,0.541586134507161,""
"6","2021-05-30 13:22:59","GS","Fipronil",18.83,0,0.01,"gs_014",0.6266,44.01,2,6,20.7109,1014.6,4,"M5",60.7,18.83,94.48,0.489433008152592,-0.00520699416719414,-0.312419650031649,0.998880921407708,9.09260136917369,0.182618533678895,0.17253799061982,0.312419650031649,0.498595036756541,""
"7","2021-06-01 13:13:21","GS","Fipronil",19.11,0,0.01,"gs_046",0.721,47.53,2,6,20.7109,1014.9,4,"M6",86.9833333333333,19.11,95.51,0.422645942431514,-0.00285456552813526,-0.171273931688115,0.985473352946426,9.04452505273597,0.180799151351687,0.172681269455996,0.171273931688115,0.237550529387123,""
"8","2021-06-02 12:06:41","GS","Fipronil",18.77,0,0.01,"gs_068",0.7569,47.33,2,4,21.4921,1013.9,4,"M3",34.9833333333333,18.77,93.05,0.295454179079675,-0.00338124088105245,-0.202874452863147,0.981707504341326,9.0971410541711,0.188631039186448,0.17552118196299,0.202874452863147,0.268033363539632,""
"9","2021-06-04 09:40:59","GS","Fipronil",18.64,0,0.01,"gs_105",0.749,47.09,1,1,21.3905,1013.8,4,"M5",51.85,18.64,93.26,0.535223064826994,-0.00690998686695888,-0.414599212017533,0.99151241626732,9.12003115611337,0.188251123108914,0.175562997411373,0.414599212017533,0.553536998688295,""
"10","2021-06-01 15:44:38","GS","Fipronil",19.31,0,0.01,"gs_052",0.932,51.36,3,4,21.4921,1014.9,4,"M5",70.15,19.31,91.6,0.479176731939649,-0.00438925116039501,-0.263355069623701,0.978701762981951,9.00854531855829,0.18521659260409,0.169658398825347,0.263355069623701,0.282569817192812,""
"11","2021-06-03 09:17:53","GS","Fipronil",18.55,0,0.01,"gs_085",0.8127,50.7,1,5,21.4825,1011.9,4,"M6",58.4833333333333,18.55,95.27,0.408728147329352,-0.0039010681941728,-0.234064091650368,0.982036924309974,9.11909057071735,0.188489778278613,0.179574211766035,0.234064091650368,0.288007987757313,""
"12","2021-06-01 13:28:51","GS","Fipronil",19.16,0,0.01,"gs_046",0.721,47.53,2,6,20.7109,1014.9,4,"M7",102.483333333333,19.16,95.54,0.520046600702368,-0.00337106899858665,-0.202264139915199,0.980261474473369,9.03550506477288,0.180618842694303,0.172563242310138,0.202264139915199,0.280532787677114,""
"13","2021-05-30 13:36:29","GS","Fipronil",18.77,0,0.01,"gs_014",0.6266,44.01,2,6,20.7109,1014.6,4,"M6",74.2,18.77,94.47,0.563058303722043,-0.00525359891306105,-0.315215934783663,0.999332356184646,9.1035583401024,0.182838596770119,0.172727622368731,0.315215934783663,0.50305766802372,""
"14","2021-06-04 09:26:29","GS","Fipronil",18.62,0,0.01,"gs_105",0.749,47.09,1,1,21.3905,1013.8,4,"M4",37.35,18.62,94.02,0.444711714383144,-0.00715970569295282,-0.429582341577169,0.989668875269804,9.12370406415675,0.188326937440292,0.177064986581362,0.429582341577169,0.573541177005566,""
"15","2021-06-02 15:45:20","GS","Fipronil",18.65,0,0.01,"gs_077",0.4279,40.91,3,5,21.4825,1013.9,4,"M8",111.316666666667,18.65,97.62,0.438485402081857,-0.00224765258315381,-0.134859154989229,0.964603784851829,9.11911455594541,0.191999309329608,0.187429725767564,0.134859154989229,0.31516512033005,""
"16","2021-06-04 13:36:54","GS","Fipronil",19.18,0,0.01,"gs_116",0.6138,45.41,2,4,21.4921,1013.8,4,"M7",92,19.18,95.66,0.445060679959096,-0.00286994061441298,-0.172196436864779,0.981702431836929,9.0218942115835,0.188361813917704,0.180186911193675,0.172196436864779,0.280541604536949,""
