"","spp","NomConc","Phase","fishID","DateTime","Intercept","Slope","Slope.hour","r2","BaroP","Salinity","Temp","Time.m","O2.sat","sat100.mgO2perL","sat100.mgO2permL","date","chamber","volume.ml","treatment","weight.g","length.mm","hPa","mmHg","round","notes","sat100.mgO2","mgO2","mgO2hpos","mass.specific.mgO2ghr","Contam","CalcConc"
"1","WS",0,"M2","ws_086",2021-07-01 11:41:04,0.268817900707062,-0.00406180677254635,-0.243708406352781,0.997169400200652,1014.8,4,18.43,20.9833333333333,98.84,9.16796109529724,0.00916796109529724,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185374339754691,0.183223997413537,0.243708406352781,0.496250063841949,"Fipronil",0.01
"2","WS",0,"M2","ws_059",2021-06-30 12:01:49,0.275586497798565,-0.00401524356636792,-0.240914613982075,0.978511268298361,1011.9,4,18.69,22.9833333333333,96.18,9.09341645718828,0.00909341645718829,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.18819280028974,0.181003835318672,0.240914613982075,0.312998069354392,"Fipronil",0.01
"3","WS",0,"M2","ws_066",2021-06-30 14:35:31,0.280055916689766,-0.00480249582804107,-0.288149749682464,0.963246460722164,1011.9,4,18.88,20.9833333333333,96.04,9.05878779743812,0.00905878779743812,2021-06-30,2,21.3196,"white",0.9503,57.66,1011.92,759,"3","",0.184521166282356,0.177214128097575,0.288149749682464,0.303219772369214,"Fipronil",0.01
"4","WS",0,"M4","ws_086",2021-07-01 12:08:34,0.339760109944546,-0.00320664325099285,-0.192398595059571,0.996611450549748,1014.8,4,18.45,48.4833333333333,99.18,9.16425836325119,0.00916425836325119,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185299471253266,0.18378001558899,0.192398595059571,0.391770708734618,"Fipronil",0.01
"5","WS",0,"M4","ws_059",2021-06-30 12:29:49,0.38344259172077,-0.00391025059986338,-0.234615035991803,0.958569368818385,1011.9,4,18.72,50.9833333333333,96.64,9.08793238521177,0.00908793238521177,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.18807930467815,0.181759840040964,0.234615035991803,0.304813610486947,"Fipronil",0.01
"6","WS",0,"M8","ws_094",2021-07-01 15:51:44,0.470354911446463,-0.00263070183970018,-0.157842110382011,0.986003987982625,1014.8,4,18.86,107.983333333333,101.07,9.08896252456153,0.00908896252456153,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.18370701944269,0.185672684550727,0.157842110382011,0.316443685609484,"Fipronil",0.01
"7","WS",0,"M3","ws_094",2021-07-01 14:41:44,0.286455785006932,-0.00265947058463333,-0.159568235078,0.958152807426953,1014.8,4,18.68,37.9833333333333,99.75,9.12187663429875,0.00912187663429874,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.18437228272011,0.183911352013309,0.159568235078,0.319904240332798,"Fipronil",0.01
"8","WS",0,"M3","ws_086",2021-07-01 11:54:34,0.313920355491119,-0.00373461231872869,-0.224076739123721,0.996594915844432,1014.8,4,18.44,34.4833333333333,99.45,9.16610938039739,0.00916610938039739,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185336898449759,0.184317545508286,0.224076739123721,0.456275176387134,"Fipronil",0.01
"9","WS",0,"M7","ws_079",2021-07-01 09:25:56,0.357372518443127,-0.00236615917085286,-0.141969550251172,0.975639173034505,1011.9,4,18.15,69.4833333333333,99.75,9.19319549579538,0.00919319549579538,2021-07-01,7,21.359,"white",0.4458,42.61,1014.85,761.2,"1","",0.192259136042668,0.191778488202561,0.141969550251172,0.318460184502404,"Fipronil",0.01
"10","WS",0,"M6","ws_012",2021-06-28 13:25:10,0.337217127493262,-0.00197245776127218,-0.118347465676331,0.984048252062857,1010.2,4,19.54,76.9833333333333,97.56,8.92502049216299,0.00892502049216299,2021-06-28,4,21.4921,"white",0.3681,41.1,1010.18,757.7,"2","",0.188532132876451,0.183931948834266,0.118347465676331,0.321509007542328,"Fipronil",0.01
"11","WS",0,"M6","ws_086",2021-07-01 12:35:34,0.398525588986552,-0.00280600941947216,-0.16836056516833,0.989105690128893,1014.8,4,18.46,75.4833333333333,100.18,9.1624080434604,0.0091624080434604,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185262058157161,0.185595529861843,0.16836056516833,0.342823386618468,"Fipronil",0.01
"12","WS",0,"M10","ws_086",2021-07-01 13:29:34,0.465929274529702,-0.00215972195394299,-0.129583317236579,0.995667171732676,1014.8,4,18.52,129.483333333333,100.33,9.15132074689194,0.00915132074689194,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185037875238006,0.185648500226291,0.129583317236579,0.263863403047403,"Fipronil",0.01
"13","WS",0,"M5","ws_059",2021-06-30 12:43:49,0.434953137651397,-0.00386574645654431,-0.231944787392658,0.986903856921124,1011.9,4,18.71,64.9833333333333,96.69,9.08975972410251,0.00908975972410251,2021-06-30,3,21.4652,"white",0.7697,51.62,1011.92,759,"2","",0.188117122370164,0.181890445619711,0.231944787392658,0.301344403524306,"Fipronil",0.01
"14","WS",0,"M9","ws_094",2021-07-01 16:05:44,0.430862652865029,-0.00201074062009772,-0.120644437205863,0.994314073639942,1014.8,4,18.9,121.983333333333,100.79,9.08167832813929,0.00908167832813929,2021-07-01,6,20.7109,"white",0.4988,45.43,1014.85,761.2,"3","",0.183559790536184,0.18500991288142,0.120644437205863,0.241869360877833,"Fipronil",0.01
"15","WS",0,"M5","ws_012",2021-06-28 13:11:10,0.32615878816026,-0.0022295564583537,-0.133773387501222,0.982316873550328,1010.2,4,19.51,62.9833333333333,97.76,8.93033147661845,0.00893033147661845,2021-06-28,4,21.4921,"white",0.3681,41.1,1010.18,757.7,"2","",0.188644322112088,0.184418689296777,0.133773387501222,0.363415885632224,"Fipronil",0.01
"16","WS",0,"M1","ws_086",2021-07-01 11:27:34,0.219833426894893,-0.00462212028439525,-0.277327217063715,0.996675049425228,1014.8,4,18.4,7.48333333333333,99.4,9.17352043050245,0.00917352043050245,2021-07-01,6,20.7109,"white",0.4911,46.24,1014.85,761.2,"2","",0.185486748400673,0.184373827910269,0.277327217063715,0.564706204568754,"Fipronil",0.01
"17","WS",0,"M7","ws_012",2021-06-28 13:39:10,0.356271417992077,-0.00187716111709437,-0.112629667025662,0.979662774989466,1010.2,4,19.55,90.9833333333333,97.64,8.92325146740134,0.00892325146740134,2021-06-28,4,21.4921,"white",0.3681,41.1,1010.18,757.7,"2","",0.188494763997386,0.184046287567048,0.112629667025662,0.305975732207722,"Fipronil",0.01
