"burstQual","BURST_NUMBER","ORIENTATION","START_TIME","X","GATE_ID","TIMING","POSITION","POSITION_DIFF","TIMING_DIFF","VELOCITY","VELOCITY_DIFF","ACCEL"
"good","1","L",200.5,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate1",0.027133,1.8,1.8,0.027133,66.3398813253234,NA,NA
"good","1","L",200.5,NA,"Gate2",0.09887,5,3.2,0.071737,44.6073853102304,-21.732496015093,-302.946819843219
"good","1","L",200.5,NA,"Gate3",0.171778,6.8,1.8,0.072908,24.6886487079607,-19.9187366022697,-273.203717044353
"good","1","L",200.5,NA,"Gate4",0.245496,10,3.2,0.073718,43.4086654548414,18.7200167468807,253.940920085742
"good","1","L",200.5,NA,"Gate5",0.40146,15,5,0.155964,32.0586802082532,-11.3499852465882,-72.7731094777528
"good","1","L",200.5,NA,"Gate6",0.569713,20,5,0.168253,29.7171521458755,-2.34152806237764,-13.9167091367027
"good","1","L",200.5,NA,"Gate7",0.745561,25,5,0.175848,28.4336472407989,-1.28350490507668,-7.29894514055707
"good","1","L",200.5,NA,"Gate8",NA,30,5,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate9",NA,35,5,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate10",2.015171,40,5,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate11",2.402045,45,5,0.386874,12.9241044888,NA,NA
"good","1","L",200.5,NA,"Gate12",2.756581,50,5,0.354536,14.1029401809689,1.17883569216897,3.32500984997
"good","1","L",200.5,NA,"Gate13",3.232172,55,5,0.475591,10.5132351116821,-3.58970506928683,-7.5478826750019
"good","1","L",200.5,NA,"Gate14",3.883158,60,5,0.650986,7.68065672687277,-2.83257838480933,-4.35121244513604
"good","1","L",200.5,NA,"Gate15",4.459871,65,5,0.576713,8.66982363844755,0.989166911574777,1.71518053446823
"good","1","L",200.5,NA,"Gate16",4.855688,70,5,0.395817,12.632100187713,3.96227654926546,10.0103748683494
"good","1","L",200.5,NA,"Gate17",5.248319,75,5,0.392631000000001,12.7346032279672,0.1025030402542,0.261067109459519
"good","1","L",200.5,NA,"Gate18",5.721203,80,5,0.472884,10.5734175823246,-2.16118564564257,-4.57022366086095
"good","1","L",200.5,NA,"Gate19",6.344624,85,5,0.623421,8.02026239090439,-2.55315519142025,-4.09539491197803
"good","1","L",200.5,NA,"Gate20",6.973017,90,5,0.628393,7.95680410189165,-0.0634582890127362,-0.100985034863113
"good","1","L",200.5,NA,"Gate21",8.06051,93.2,3.2,1.087493,2.94254767616895,-5.0142564257227,-4.61084018538298
"good","1","L",200.5,NA,"Gate22",NA,95,1.8,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate23",-5.041977,98.2,3.2,NA,NA,NA,NA
"good","1","L",200.5,NA,"Gate24",9.012003,100,1.8,14.05398,0.128077597947343,NA,NA
"poor","2","R",282.3,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate1",0.225882,1.8,1.8,0.225882,7.96876245119133,NA,NA
"poor","2","R",282.3,NA,"Gate2",0.673196,5,3.2,0.447314,7.15381141658879,-0.814951034602536,-1.8218768797814
"poor","2","R",282.3,NA,"Gate3",0.998791,6.8,1.8,0.325595,5.52834042291804,-1.62547099367075,-4.99230944477266
"poor","2","R",282.3,NA,"Gate4",1.710088,10,3.2,0.711297,4.49882397929416,-1.02951644362388,-1.44737914489149
"poor","2","R",282.3,NA,"Gate5",2.803271,15,5,1.093183,4.57379962915633,0.0749756498621634,0.0685847199070635
"poor","2","R",282.3,NA,"Gate6",3.879741,20,5,1.07647,4.64481128131764,0.0710116521613138,0.0659671446127749
"poor","2","R",282.3,NA,"Gate7",4.831117,25,5,0.951376,5.25554565177175,0.610734370454111,0.641948473005532
"poor","2","R",282.3,NA,"Gate8",5.73537,30,5,0.904253,5.52942594605713,0.273880294285383,0.302880161067072
"poor","2","R",282.3,NA,"Gate9",6.266155,35,5,0.530785000000001,9.42000998521057,3.89058403915344,7.32986809942525
"poor","2","R",282.3,NA,"Gate10",6.926381,40,5,0.660226,7.57316434069546,-1.84684564451511,-2.79729311556211
"poor","2","R",282.3,NA,"Gate11",7.966751,45,5,1.04037,4.80598248699982,-2.76718185369564,-2.65980550544099
"poor","2","R",282.3,NA,"Gate12",8.8969,50,5,0.930149,5.37548285274725,0.569500365747431,0.61226789014172
"poor","2","R",282.3,NA,"Gate13",10.530668,55,5,1.633768,3.0604100459796,-2.31507280676765,-1.41701441500118
"poor","2","R",282.3,NA,"Gate14",11.489262,60,5,0.958594,5.21597255981156,2.15556251383196,2.24867098462118
"poor","2","R",282.3,NA,"Gate15",NA,65,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate16",NA,70,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate17",NA,75,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate18",NA,80,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate19",NA,85,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate20",NA,90,5,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate21",NA,93.2,3.2,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate22",NA,95,1.8,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate23",NA,98.2,3.2,NA,NA,NA,NA
"poor","2","R",282.3,NA,"Gate24",NA,100,1.8,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate1",0.144977,1.8,1.8,0.144977,12.4157625002587,NA,NA
"poor","3","L",372.9,NA,"Gate2",0.405125,5,3.2,0.260148,12.3006903762474,-0.115072124011297,-0.442333302625032
"poor","3","L",372.9,NA,"Gate3",0.725935,6.8,1.8,0.32081,5.61079766840186,-6.68989270784551,-20.8531302261323
"poor","3","L",372.9,NA,"Gate4",1.162596,10,3.2,0.436661,7.32833937539648,1.71754170699462,3.93335266257948
"poor","3","L",372.9,NA,"Gate5",1.952657,15,5,0.790061,6.32862525804969,-0.999714117346781,-1.26536320277394
"poor","3","L",372.9,NA,"Gate6",2.45855,20,5,0.505893,9.88351291676304,3.55488765871334,7.02695561850697
"poor","3","L",372.9,NA,"Gate7",2.897604,25,5,0.439054,11.3881208234067,1.50460790664365,3.42693132654218
"poor","3","L",372.9,NA,"Gate8",3.33709,30,5,0.439486,11.3769266825337,-0.0111941408730001,-0.0254709839972151
"poor","3","L",372.9,NA,"Gate9",NA,35,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate10",NA,40,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate11",NA,45,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate12",NA,50,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate13",NA,55,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate14",NA,60,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate15",NA,65,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate16",NA,70,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate17",NA,75,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate18",NA,80,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate19",NA,85,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate20",NA,90,5,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate21",NA,93.2,3.2,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate22",NA,95,1.8,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate23",NA,98.2,3.2,NA,NA,NA,NA
"poor","3","L",372.9,NA,"Gate24",NA,100,1.8,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate1",0.037482,1.8,1.8,0.037482,48.023051064511,NA,NA
"good","4","R",429.8,NA,"Gate2",0.123979,5,3.2,0.086497,36.9955027341989,-11.0275483303121,-127.490529501741
"good","4","R",429.8,NA,"Gate3",0.188467,6.8,1.8,0.064488,27.9121697059918,-9.08333302820706,-140.85307387742
"good","4","R",429.8,NA,"Gate4",0.346707,10,3.2,0.15824,20.2224469160768,-7.68972278991497,-48.5953159120006
"good","4","R",429.8,NA,"Gate5",0.531684,15,5,0.184977,27.0303875616969,6.80794064562,36.8042548296275
"good","4","R",429.8,NA,"Gate6",0.658468,20,5,0.126784,39.437152953054,12.4067653913572,97.8575008783218
"good","4","R",429.8,NA,"Gate7",NA,25,5,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate8",NA,30,5,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate9",NA,35,5,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate10",NA,40,5,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate11",1.377367,45,5,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate12",1.522165,50,5,0.144798,34.5308636859625,NA,NA
"good","4","R",429.8,NA,"Gate13",1.642545,55,5,0.12038,41.5351387273634,7.00427504140086,58.1847071058387
"good","4","R",429.8,NA,"Gate14",1.778675,60,5,0.13613,36.7295967090281,-4.80554201833526,-35.3011240603486
"good","4","R",429.8,NA,"Gate15",1.94447,65,5,0.165795,30.1577249012335,-6.57187180779465,-39.6385404131286
"good","4","R",429.8,NA,"Gate16",2.103492,70,5,0.159022,31.4421903887512,1.28446548751774,8.07728168126255
"good","4","R",429.8,NA,"Gate17",2.234063,75,5,0.130571,38.2933423195044,6.8511519307532,52.4707012334531
"good","4","R",429.8,NA,"Gate18",2.401621,80,5,0.167558,29.840413468769,-8.45292885073539,-50.4477783856061
"good","4","R",429.8,NA,"Gate19",2.570195,85,5,0.168574,29.6605644998636,-0.179848968905446,-1.06688438849079
"good","4","R",429.8,NA,"Gate20",2.797036,90,5,0.226841,22.0418707376533,-7.6186937622103,-33.5860526192809
"good","4","R",429.8,NA,"Gate21",NA,93.2,3.2,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate22",3.010834,95,1.8,NA,NA,NA,NA
"good","4","R",429.8,NA,"Gate23",3.296858,98.2,3.2,0.286024,11.1878723463765,NA,NA
"good","4","R",429.8,NA,"Gate24",3.311637,100,1.8,0.0147790000000003,121.794438053993,110.606565707616,7484.03584191175
"okay","5","L",505.7,NA,"Gate0",0,0,NA,NA,NA,NA,NA
