"burstID","mntopvel","n_avg","burstQual"
1,37.7336728315473,3,"good"
2,7.36348787864213,3,"poor"
3,11.3825237529702,3,"poor"
4,40.4861458402087,3,"good"
5,21.2437483002947,3,"okay"
6,33.4004673695433,3,"good"
7,NA,3,"poor"
8,34.1900596139703,3,"good"
9,41.7563891728053,3,"good"
10,30.120785635086,3,"good"
11,14.5481844208545,3,"poor"
12,9.07768604323692,3,"okay"
13,9.79224907194581,3,"poor"
14,19.4953543515115,3,"okay"
15,14.3284133931453,3,"okay"
