"burstID","mntopvel","n_avg","burstQual"
1,19.0275289398474,3,"okay"
2,28.7857245786054,3,"okay"
3,10.1722573208723,3,"poor"
4,34.1187561582837,3,"good"
5,45.7974621318633,3,"good"
6,6.21933372698938,3,"poor"
7,29.5562041012422,3,"okay"
8,23.091461089596,3,"good"
9,30.6351991011099,3,"good"
10,37.1793141128835,3,"good"
11,35.7750543701321,3,"good"
12,29.2795860008302,3,"good"
13,50.6049197147601,3,"good"
14,30.9913899272947,3,"good"
15,35.4902890142919,3,"good"
