spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R7,7,100,16.4,0.033,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R8,8,100,17,0.035,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R9,9,100,16.2,0.035,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R10,10,100,15.8,0.031,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R11,11,100,16.1,0.043,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R12,12,100,15.8,0.034,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R13,13,100,16.1,0.035,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R14,14,100,15.3,0.036,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R15,15,100,16.1,0.035,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R16,16,100,16.1,0.038,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R1,1,500,15.7,0.031,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R2,2,500,15.5,0.032,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R3,3,500,15.1,0.03,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R4,4,500,16,0.034,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R5,5,500,15.9,0.033,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R6,6,500,15.9,0.036,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R7,7,500,15.8,0.032,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R8,8,500,16.6,0.034,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R9,9,500,15.5,0.046,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R10,10,500,15.4,0.029,noticeably shortened notochord & slight bend as well (hump?)
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R11,11,500,14.3,0.04,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R12,12,500,15.2,0.039,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R13,13,500,14.9,0.035,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R14,14,500,15.8,0.037,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R15,15,500,15.5,0.038,
WS,5/28/21,5/21/21,7,mld,fip,pink,I,15,0500ug,R16,16,500,16.1,0.039,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R1,1,1000,16.3,0.031,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R2,2,1000,17.2,0.032,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R3,3,1000,14.9,0.031,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R4,4,1000,15.1,0.032,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R5,5,1000,13.2,0.03,Truncated tail
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R6,6,1000,15.2,0.03,noticeably shortened notochord & slight bend as well (hump?)
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R7,7,1000,13,0.03,Truncated tail
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R8,8,1000,16.7,0.037,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R9,9,1000,13.9,0.03,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R10,10,1000,15.4,0.032,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R11,11,1000,14.8,0.037,noticeably shortened notochord & slight bend as well (hump?)
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R12,12,1000,13.4,0.03,Truncated tail
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R13,13,1000,13.9,0.037,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R14,14,1000,14.3,0.037,
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R15,15,1000,14.5,0.038,noticeably shortened notochord & slight bend as well (hump?)
WS,5/28/21,5/21/21,7,mld,fip,blue,I,15,1000ug,R16,16,1000,14.9,0.032,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,1,0,23,0.076,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,2,0,25,0.082,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,3,0,26,0.117,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,4,0,24,0.051,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,5,0,27,0.123,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,6,0,26,0.114,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,7,0,26,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R1.2,8,0,23,0.104,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,9,0,24,0.085,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,10,0,27,0.117,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,11,0,28,0.094,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,12,0,23,0.083,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,13,0,23,0.058,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,14,0,26,0.088,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,15,0,28,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,white,G,15,0000ug,R3.4,16,0,29,0.126,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,1,1,22,0.06,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,2,1,29,0.124,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,3,1,23,0.087,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,4,1,26,0.135,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,5,1,24,0.099,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,6,1,25,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,7,1,24,0.088,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R1.2,8,1,25,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,9,1,30,0.152,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,10,1,29,0.139,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,green,G,15,0001ug,R3.4,11,1,23,0.047,
