spp,contaminant,year,targettemp,date,time,group,rep,treatment,tempC
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
GS,bif,2020,15,,,,,,
